pl_name,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_orbper,sy_dist
"TOI-2876 b",2025,"Transit",9.63972340,54.03082919,6.29964310000,225.74400000
"TOI-2886 b",2025,"Transit",18.64053490,444.95976980,1.60200105000,413.67300000
"WASP-155 b",2025,"Transit",13.45077684,276.82854250,3.11041300000,399.63000000
"LHS 1815 b",2020,"Transit",1.08800000,1.58000000,3.81433400000,29.84240000
"HD 75898 c",2024,"Radial Velocity",12.60000000,2698.36317543,6717.00000000000,78.05050000
"Kepler-963 c",2024,"Transit",0.60000000,0.15600000,0.91978300000,771.49400000
"TOI-654.01",2024,"Transit",2.37800000,8.71000000,1.52756100000,57.75530000
"TOI-1937 A b",2023,"Transit",13.97759893,638.83509807,0.94667944000,415.13500000
"Kepler-1489 c",2024,"Transit",0.51000000,0.08700000,0.68074100000,1283.05000000
"HD 86728 b",2025,"Radial Velocity",3.03000000,9.43000000,31.15150000000,14.92020000
"KMT-2022-BLG-0303L b",2024,"Microlensing",14.20000000,163.04597279,,6570.00000000
"TOI-5076 b",2024,"Transit",3.48935569,16.14568308,23.44316200000,82.85700000
"TOI-5398 c",2023,"Transit",3.52000000,11.80000000,4.77271000000,130.85500000
"XO-2 N b",2007,"Transit",11.13053700,179.89178000,2.61586178000,154.27300000
"KELT-6 b",2014,"Transit",14.57170000,165.27160000,7.84570000000,240.72600000
"Kepler-485 b",2016,"Transit",14.41000000,,3.24325979600,1140.95000000
"CoRoT-19 b",2011,"Transit",14.46000000,352.78000000,3.89713000000,790.66300000
"Kepler-222 d",2014,"Transit",3.69000000,13.20000000,28.08191200000,758.85400000
"TOI-1899 b",2020,"Transit",11.09689089,212.94503269,29.09031200000,128.43800000
"HIP 67522 b",2020,"Transit",9.98720180,71.40000000,6.95947310000,127.28000000
"TOI-122 b",2020,"Transit",2.72000000,7.85000000,5.07803000000,62.11800000
"TOI-2005 b",2025,"Transit",11.99360935,2034.10180480,17.30590400000,328.47500000
"TOI-2236 b",2022,"Transit",14.36991326,502.16888306,3.53159020000,355.59000000
"TOI-2969 b",2025,"Transit",12.32987877,368.68095212,1.82371460000,163.99600000
"OGLE-2016-BLG-1598L b",2024,"Microlensing",13.60000000,120.77479466,,5910.00000000
"OGLE-2016-BLG-1800L b",2024,"Microlensing",13.20000000,823.17557413,,6480.00000000
"HAT-P-40 b",2012,"Transit",17.03768000,152.55840000,4.45724000000,464.46900000
"Gaia-5 b",2025,"Astrometry",12.10000000,6633.07885409,358.62000000000,41.18130000
"GJ 1289 b",2024,"Radial Velocity",2.38000000,6.27000000,111.74000000000,8.35147000
"TOI-1199 b",2024,"Transit",10.51402390,75.96098927,3.67146300000,248.42700000
"HD 87816 c",2025,"Radial Velocity",12.40000000,3877.50656540,7596.00000000000,133.23300000
"HD 94890 b",2025,"Radial Velocity",13.30000000,676.97450691,824.61000000000,61.70120000
"TOI-2010 b",2023,"Transit",11.81426566,408.72733140,141.83402500000,109.19000000
"HD 94890 c",2025,"Radial Velocity",12.50000000,2831.85110637,2492.19000000000,61.70120000
"TIC 434398831 b",2025,"Transit",3.51000000,12.10000000,3.68550400000,217.01100000
"TIC 434398831 c",2025,"Transit",5.63000000,27.00000000,6.21029100000,217.01100000
"K2-360 c",2024,"Radial Velocity",4.02000000,15.23000000,9.79692000000,232.10000000
"EPIC 201595106 b",2021,"Transit",1.56500000,7.67000000,0.87724000000,232.10000000
"TOI-2322 c",2025,"Transit",1.87400000,18.10000000,20.22552800000,59.86100000
"KMT-2017-BLG-2197L b",2025,"Microlensing",12.50000000,2809.60311788,,7800.00000000
"GJ 581 e",2009,"Radial Velocity",1.38000000,2.48000000,3.14810000000,6.29810000
"Kepler-279 e",2025,"Transit",4.13000000,56.00000000,98.35310000000,1037.40000000
"KMT-2022-BLG-2076L b",2025,"Microlensing",13.90000000,279.68899816,,5570.00000000
"nu Oct A b",2016,"Radial Velocity",13.30000000,696.04421133,402.40000000000,21.19990000
"LHS 1478 b",2021,"Transit",1.24200000,2.33000000,1.94953780000,18.22760000
"TOI-782 b",2024,"Transit",2.73400000,19.10000000,8.02400150000,52.51220000
"HIP 9618 c",2023,"Transit",3.42855926,7.00000000,52.56363000000,67.54780000
"KOBE-1 b",2025,"Radial Velocity",2.91000000,8.80000000,8.53990000000,23.97180000
"Gl 725 A b",2025,"Radial Velocity",1.48000000,2.78000000,11.22010000000,3.52140000
"KOBE-1 c",2025,"Radial Velocity",3.56000000,12.40000000,29.67100000000,23.97180000
"G 261-6 b",2025,"Radial Velocity",1.10000000,1.37000000,5.45360000000,10.62670000
"G 192-15 b",2025,"Radial Velocity",1.02000000,1.03000000,2.27476000000,9.53114000
"TOI-5817 b",2025,"Transit",3.08000000,10.30000000,15.61031000000,80.75420000
"TOI-6324 b",2025,"Transit",1.05900000,1.17000000,0.27922100000,20.54880000
"WASP-22 b",2010,"Transit",13.78707000,212.94610000,3.53269000000,317.65200000
"OGLE-2016-BLG-0007L b",2025,"Microlensing",1.09000000,1.32000000,14200.00000000000,4300.00000000
"K2-371 b",2022,"Transit",13.02400000,,3.11490500000,442.81300000
"KMT-2023-BLG-0949L b",2025,"Microlensing",12.80000000,1900.61387386,,6060.00000000
"GJ 3998 c",2016,"Radial Velocity",2.50000000,6.82000000,13.72700000000,18.14590000
"Kepler-105 b",2013,"Transit",2.53000000,10.80000000,5.41220340000,459.22300000
"Kepler-105 c",2014,"Transit",1.44000000,5.60000000,7.12592000000,459.22300000
"NGTS-35 b",2025,"Transit",10.90000000,152.00000000,25.24119200000,183.07800000
"TOI-1294 c",2024,"Radial Velocity",14.30000000,147.00000000,159.90000000000,332.64800000
"KMT-2023-BLG-0830L b",2025,"Microlensing",4.41000000,17.79839079,,7250.00000000
"Kepler-1656 b",2018,"Transit",4.57400000,47.80000000,31.56200000000,185.87500000
"KMT-2024-BLG-1281L b",2025,"Microlensing",4.59000000,19.06970442,,7180.00000000
"KMT-2017-BLG-0849L b",2024,"Microlensing",2.41000000,6.39000000,,7220.00000000
"ZTF J1828+2308 b",2025,"Transit",11.13051784,6356.56814000,0.11200670000,201.82700000
"KMT-2017-BLG-2331L b",2024,"Microlensing",14.20000000,171.00000000,,8030.00000000
"KMT-2023-BLG-1743L b",2024,"Microlensing",12.10000000,6356.56814000,,7130.00000000
"TOI-406 c",2024,"Transit",1.32000000,2.08000000,3.30744100000,31.05970000
"KMT-2019-BLG-0578L b",2025,"Microlensing",13.70000000,381.39408840,,7300.00000000
"Barnard d",2025,"Radial Velocity",0.69400000,0.26300000,2.34020000000,1.82655000
"K2-271 b",2018,"Transit",7.28000000,41.80000000,8.56242100000,564.45400000
"MOA-2022-BLG-091L b",2025,"Microlensing",13.00000000,1141.00398113,,4250.00000000
"KMT-2024-BLG-1209L b",2025,"Microlensing",13.20000000,839.06699448,,3930.00000000
"K2-214 b",2018,"Transit",2.51000000,6.85000000,8.59656000000,300.64000000
"Kepler-391 c",2014,"Transit",2.88000000,450.00000000,20.50100000000,869.23600000
"TOI-238 b",2024,"Transit",1.55900000,3.37000000,1.27309900000,80.54070000
"K2-220 b",2018,"Transit",2.37000000,6.21000000,13.68186000000,233.51400000
"TOI-4562 c",2024,"Transit Timing Variations",12.80000000,1833.86990839,3990.00000000000,339.60500000
"Kepler-450 b",2015,"Transit",6.14000000,19.40000000,28.45485100000,455.98200000
"Kepler-407 b",2014,"Transit",1.19000000,1.93000000,0.66931240000,338.36800000
"BEBOP-3 b",2025,"Radial Velocity",14.20000000,177.34825111,547.00000000000,119.05200000
"K2-37 c",2016,"Transit",2.41000000,6.39000000,6.42966000000,179.94300000
"Kepler-134 b",2014,"Transit",2.00000000,4.66000000,5.31742900000,334.79700000
"K2-37 d",2016,"Transit",2.31000000,12.50000000,14.09229000000,179.94300000
"WASP-85 A b",2016,"Transit",13.89916000,402.05495000,2.65567770000,141.88700000
"TOI-1227 b",2022,"Transit",9.57246952,66.50000000,27.36397000000,100.64100000
"HD 207496 b",2023,"Transit",2.25000000,6.10000000,6.44100800000,23.60600000
"GJ 806 b",2023,"Transit",1.33100000,1.90000000,0.92632370000,12.04450000
"HD 73344 c",2025,"Radial Velocity",13.50000000,118.54999581,65.94000000000,35.26000000
"GJ 317 b",2007,"Radial Velocity",13.30000000,794.50000000,695.69000000000,15.19680000
"GJ 463 b",2022,"Radial Velocity",13.10000000,1080.61658380,3459.00000000000,18.35540000
"GJ 9773 b",2025,"Radial Velocity",14.20000000,172.58082500,2965.00000000000,15.92110000
"Kepler-228 c",2014,"Transit",2.70000000,7.75000000,4.13444400000,1644.61000000
"HD 15906 c",2023,"Transit",2.93000000,8.91000000,21.58329800000,45.56210000
"Kepler-725 b",2016,"Transit",10.80000000,81.60000000,39.64372000000,758.46900000
"MOA-2022-BLG-033L b",2025,"Microlensing",3.52000000,12.15000000,,1840.00000000
"KMT-2023-BLG-0119L b",2025,"Microlensing",11.00000000,83.70000000,,5410.00000000
"K2-233 c",2018,"Transit",1.27200000,4.60000000,7.06024000000,67.50620000
"WISPIT 1 c",2025,"Imaging",12.80000000,1684.49055710,,230.00700000
"KOI-134 c",2025,"Transit Timing Variations",9.86000000,69.92224954,33.95000000000,1159.21000000
"TOI-4600 c",2023,"Transit",9.42000000,2946.26933289,482.81910000000,216.05600000
"Kepler-103 c",2014,"Transit",5.45390000,58.47000000,179.60978000000,494.83200000
"TOI-1472 c",2025,"Radial Velocity",3.33400000,21.13000000,15.53817470000,121.84000000
"Kepler-495 c",2021,"Transit",1.21936414,1.98000000,5.89660978300,658.92400000
"Kepler-103 b",2014,"Transit",3.48570000,11.67000000,15.96532870000,494.83200000
"Kepler-278 b",2014,"Transit",3.95500000,56.00000000,30.15560000000,443.03000000
"HD 224018 b",2025,"Radial Velocity",0.91000000,4.10000000,10.64130000000,105.48000000
"Kepler-391 b",2014,"Transit",2.50000000,1100.00000000,7.41750000000,869.23600000
"HD 93963 A b",2022,"Transit",1.46954368,2.80000000,1.03761090000,82.34320000
"KOI-351 h",2013,"Transit",11.25200000,203.00000000,331.60296000000,848.25400000
"K2-406 b",2022,"Transit",4.60200000,19.20000000,22.54940600000,85.37510000
"TOI-6695 c",2025,"Radial Velocity",13.60000000,460.85119015,242.40000000000,282.53600000
"Kepler-93 b",2014,"Transit",1.47800000,4.66000000,4.72673978000,95.91150000
"Kepler-166 d",2016,"Transit",1.73000000,3.64000000,1.55400392800,603.53000000
"Kepler-1732 b",2021,"Transit",4.09903273,15.70000000,32.31240082000,1289.41000000
"Kepler-1026 b",2016,"Transit",2.21000000,5.52000000,36.51560530000,351.23900000
"K2-175 b",2018,"Transit",2.03803688,4.81000000,9.52598800000,247.26600000
"GJ 1061 b",2020,"Radial Velocity",1.04000000,1.11000000,3.20730000000,3.67278000
"ups And d",1999,"Radial Velocity",12.50000000,3257.74117175,1276.46000000000,13.40540000
"K2-176 b",2018,"Transit",1.49090097,2.83000000,5.32943900000,247.30200000
"K2-177 b",2018,"Transit",2.11620480,5.13000000,14.15518500000,492.16700000
"Kepler-9 d",2010,"Transit",1.64000000,8.41466053,1.59285100000,628.25700000
"SWEEPS-4 b",2006,"Transit",9.07900000,1207.70000000,4.20000000000,8500.00000000
"K2-183 b",2018,"Transit",1.10000000,1.37000000,0.46928500000,329.04100000
"K2-341 b",2021,"Transit",3.21000000,10.40000000,36.55255100000,421.40800000
"K2-187 e",2018,"Transit",1.90000000,4.27000000,13.60662900000,330.91600000
"K2-189 b",2018,"Transit",1.40300000,2.55000000,2.58812000000,242.11300000
"Kepler-257 d",2014,"Transit",4.95000000,21.70000000,24.66455100000,780.25600000
"Kepler-42 b",2011,"Transit",0.78000000,0.70594400,1.21376720000,40.05950000
"K2-381 c",2022,"Transit",2.00000000,4.66000000,16.03465600000,145.70100000
"K2-199 b",2018,"Transit",1.73000000,6.90000000,3.22539930000,107.51800000
"K2-151 b",2018,"Transit",1.49000000,2.83000000,3.83547600000,69.47980000
"Kepler-197 b",2014,"Transit",1.02000000,1.04000000,5.59930800000,330.57500000
"K2-157 b",2018,"Transit",0.93500000,1.14000000,0.36525750000,298.37300000
"eps Tau b",2006,"Radial Velocity",12.70000000,2285.18624633,585.82000000000,47.52852000
"HD 109749 b",2005,"Radial Velocity",11.10000000,85.81410000,5.23989100000,63.08210000
"gam Cep b",2003,"Radial Velocity",12.70000000,2097.66748620,913.00000000000,14.10240000
"TOI-128.01",2024,"Transit",2.21898000,5.56000000,4.94046810000,68.47270000
"HD 111232 b",2003,"Radial Velocity",12.60000000,2531.50326176,1169.13202000000,28.95710000
"51 Peg b",1995,"Radial Velocity",14.30000000,146.20180000,4.23078500000,15.46140000
"4 UMa b",2006,"Radial Velocity",12.60000000,2511.48007211,270.27000000000,73.46030000
"GJ 433 b",2011,"Radial Velocity",2.33000000,6.04300000,7.37050000000,9.06456000
"Kepler-65 c",2012,"Transit",2.58000000,5.40000000,5.85994400000,303.72800000
"Kepler-7 b",2009,"Transit",18.18099800,140.16303000,4.88548920000,922.56200000
"KOI-12 b",2015,"Transit",13.78707000,349.61300000,17.85518200000,399.39800000
"HD 116029 b",2011,"Radial Velocity",13.60000000,444.96200000,670.00000000000,123.24500000
"GJ 676 A b",2010,"Radial Velocity",12.80000000,1840.86213334,1051.44521000000,16.02720000
"HD 117618 b",2004,"Radial Velocity",8.59000000,55.30242000,25.80000000000,37.77810000
"7 CMa b",2011,"Radial Velocity",13.40000000,587.98550000,735.10000000000,19.81010000
"HD 125612 d",2009,"Radial Velocity",12.70000000,2281.37230545,2822.72698000000,57.62070000
"AB Pic b",2005,"Imaging",12.30000000,4290.50000000,,50.04750000
"GJ 581 b",2005,"Radial Velocity",4.79000000,20.50000000,5.36860000000,6.29810000
"HD 11977 b",2005,"Radial Velocity",12.70000000,2080.00000000,711.00000000000,67.93310000
"BD-10 3166 b",2000,"Radial Velocity",14.10000000,187.51970000,3.48777000000,84.40690000
"GJ 581 c",2007,"Radial Velocity",2.50000000,6.81000000,12.92110000000,6.29810000
"BD+14 4559 b",2009,"Radial Velocity",13.80000000,330.54320000,268.94000000000,49.35200000
"GJ 876 c",2000,"Radial Velocity",14.00000000,226.98460000,30.08810000000,4.67517000
"HD 101930 b",2005,"Radial Velocity",10.60000000,79.45750000,70.46000000000,30.02740000
"BD+20 2457 c",2009,"Radial Velocity",12.40000000,3963.17000000,621.99000000000,1539.71000000
"Kepler-40 b",2010,"Transit",13.11000000,699.20000000,6.87349000000,2305.01000000
"GSC 06214-00210 b",2010,"Imaging",20.17620000,5000.00000000,,108.50000000
"Kepler-123 b",2014,"Transit",2.94000000,55.30000000,17.23236600000,1021.66000000
"CoRoT-7 c",2009,"Radial Velocity",2.83000000,8.40000000,3.69800000000,159.90600000
"HD 108147 b",2002,"Radial Velocity",10.90000000,82.95000000,10.89850000000,38.92000000
"HD 108874 b",2002,"Radial Velocity",13.60000000,451.31860000,394.48123000000,59.51750000
"K2-383 b",2022,"Transit",1.56400000,3.07000000,1.86596200000,203.78800000
"CT Cha b",2007,"Imaging",24.66000000,5403.00000000,,190.72000000
"Kepler-6 b",2009,"Transit",14.61653600,212.31044000,3.23469960000,587.03900000
"HD 136418 b",2009,"Radial Velocity",13.30000000,680.15620000,464.29999000000,105.16800000
"HD 69830 b",2006,"Radial Velocity",3.17000000,10.20000000,8.66700000000,12.55910000
"HD 164509 b",2010,"Radial Velocity",14.30000000,140.79869000,280.17000000000,53.11190000
"TOI-2134 c",2023,"Transit",7.27000000,41.89000000,95.50000000000,22.62020000
"Kepler-267 b",2014,"Transit",1.98000000,37.90000000,3.35372800000,264.99300000
"HD 192699 b",2007,"Radial Velocity",13.40000000,666.17168000,340.94000000000,71.86270000
"HD 145377 b",2008,"Radial Velocity",12.80000000,1913.33660000,103.95000000000,53.48840000
"HD 196050 b",2002,"Radial Velocity",12.90000000,1493.79351290,1392.00000000000,50.67420000
"HD 147018 b",2009,"Radial Velocity",13.40000000,674.00000000,44.23600000000,40.42560000
"HD 20003 b",2019,"Radial Velocity",3.43000000,11.66000000,11.84820000000,41.83160000
"Kepler-1713 b",2021,"Transit",1.71673535,3.59000000,18.01160049000,295.29300000
"HD 196885 A b",2007,"Radial Velocity",13.20000000,819.97000000,1333.00000000000,34.16920000
"HD 149143 b",2005,"Radial Velocity",13.60000000,422.71390000,4.07182000000,73.28010000
"HD 126614 b",2009,"Radial Velocity",12.70000000,107.74382997,1257.25303000000,73.09610000
"HD 152581 b",2011,"Radial Velocity",13.40000000,594.02427000,686.50000000000,165.76000000
"HD 177830 b",1999,"Radial Velocity",13.50000000,537.13270000,410.10001000000,62.76740000
"HD 128311 c",2005,"Radial Velocity",13.00000000,1204.25787000,921.53800000000,16.32920000
"HD 154672 b",2008,"Radial Velocity",12.80000000,1706.74710000,163.94000000000,63.04840000
"HD 178911 B b",2001,"Radial Velocity",12.60000000,2552.17490000,71.48400000000,40.97270000
"HD 155358 b",2007,"Radial Velocity",13.80000000,314.65170000,194.30000000000,43.61970000
"HD 13189 b",2005,"Radial Velocity",12.40000000,3480.23850000,471.60001000000,497.82300000
"HD 131496 b",2011,"Radial Velocity",13.40000000,572.09400000,896.00000000000,131.84900000
"HD 156668 b",2010,"Radial Velocity",1.87000000,4.15000000,4.64550000000,24.33230000
"HD 134060 c",2019,"Radial Velocity",5.91000000,29.29000000,1291.56460000000,24.01250000
"HD 158038 b",2011,"Radial Velocity",13.50000000,486.27990000,521.00000000000,94.86250000
"HD 187085 b",2006,"Radial Velocity",13.90000000,265.70588000,1019.74000000000,45.89930000
"24 Sex b",2010,"Radial Velocity",13.40000000,632.46000000,452.80000000000,72.06910000
"HD 206610 b",2009,"Radial Velocity",13.40000000,647.10188000,673.20000000000,147.19200000
"HD 63454 b",2005,"Radial Velocity",12.31000000,79.45750000,2.81805000000,37.68940000
"HD 62509 b",2006,"Radial Velocity",13.30000000,731.00000000,589.64000000000,10.34000000
"K2-27 b",2016,"Transit",4.74000000,30.20000000,6.77134700000,249.64500000
"HD 20781 c",2019,"Radial Velocity",2.17000000,5.33000000,13.89050000000,35.97150000
"HD 285968 b",2008,"Radial Velocity",2.83000000,8.40000000,8.78360000000,9.47045000
"HD 69830 d",2006,"Radial Velocity",4.45000000,18.10000000,197.00000000000,12.55910000
"HD 63765 b",2009,"Radial Velocity",14.20000000,168.44990000,358.00000000000,32.53760000
"HD 28678 b",2011,"Radial Velocity",13.50000000,490.09386000,380.20000000000,189.90800000
"HD 70642 b",2003,"Radial Velocity",13.00000000,1239.53078730,2124.54000000000,29.27600000
"HD 30562 b",2009,"Radial Velocity",13.60000000,467.20775829,1157.00000000000,26.15970000
"HD 73267 b",2008,"Radial Velocity",13.00000000,1321.53051631,1257.99159000000,50.40930000
"HD 210702 b",2007,"Radial Velocity",13.60000000,481.51003660,355.50000000000,54.19630000
"HD 212771 b",2009,"Radial Velocity",13.30000000,759.61370000,380.70000000000,111.15500000
"HD 31527 c",2019,"Radial Velocity",3.85000000,14.16000000,51.20530000000,38.44730000
"HD 31527 d",2019,"Radial Velocity",3.46000000,11.82000000,271.67370000000,38.44730000
"HD 31527 b",2019,"Radial Velocity",3.22000000,10.47000000,16.55350000000,38.44730000
"HIP 111909 b",2025,"Radial Velocity",13.70000000,384.57237247,487.08000000000,88.07700000
"HD 32518 b",2009,"Radial Velocity",13.20000000,905.49313154,157.35000000000,122.11500000
"HD 216435 b",2002,"Radial Velocity",13.70000000,400.40000000,1311.00000000000,32.98340000
"HD 216437 b",2002,"Radial Velocity",13.00000000,1334.87930940,1359.00000000000,26.69020000
"HD 82886 b",2011,"Radial Velocity",13.30000000,740.54390000,705.00000000000,127.06100000
"HD 8574 b",2002,"Radial Velocity",13.40000000,645.19490000,227.00000000000,44.82640000
"HD 86081 b",2006,"Radial Velocity",13.60000000,470.38840000,2.13784310000,103.93600000
"HD 37124 d",2005,"Radial Velocity",14.00000000,221.20968000,1862.00000000000,31.66340000
"HD 9446 c",2009,"Radial Velocity",13.40000000,578.42600000,192.90000000000,50.35030000
